month,hour,maintenance,failure,weekday,temprature,simple_pos
8,8,407,1771,1,219714.7415,0
8,7,407,2061,1,219714.7415,1
8,6,407,2379,1,219714.7415,1
8,5,407,1936,1,219714.7415,1
8,4,407,2089,1,219714.7415,1
8,3,407,2089,1,219714.7415,1
8,2,407,2089,1,219714.7415,1
8,1,407,1879,1,219714.7415,1
8,0,581,1795,1,219714.7415,1
7,23,556,1485,7,216030.6166,1
7,22,556,982,7,216030.6166,1
7,21,556,1143,7,216030.6166,1
7,20,556,1143,7,216030.6166,0
7,19,556,1143,7,216030.6166,0
7,18,556,1143,7,216030.6166,0
7,17,586,1263,7,216030.6166,0
7,16,586,1452,7,216030.6166,0
7,15,586,1485,7,216030.6166,1
7,14,586,1485,7,216030.6166,0
7,13,586,1485,7,216030.6166,0
7,12,586,1485,7,216030.6166,0
7,11,586,1485,7,216030.6166,0
7,10,586,1485,7,216030.6166,0
7,9,586,1332,7,216030.6166,0
7,8,586,1493,7,216030.6166,1
7,7,556,1493,7,216030.6166,1
7,6,556,1646,7,216030.6166,1
7,5,556,1485,7,216030.6166,1
7,4,556,1485,7,216030.6166,0
7,3,556,1485,7,216030.6166,1
7,2,556,1485,7,216030.6166,1
7,1,556,1485,7,216030.6166,1
7,0,792,2542,7,216030.6166,1
7,23,792,2483,6,216441.0255,0
7,22,792,2483,6,216441.0255,0
7,21,792,2277,6,216441.0255,1
7,20,792,2277,6,216441.0255,1
7,19,792,1798,6,216441.0255,1
7,18,792,2463,6,216441.0255,1
7,17,792,3279,6,216441.0255,1
7,16,792,3279,6,216441.0255,1
7,15,792,3279,6,216441.0255,1
7,14,792,3409,6,216441.0255,1
7,13,792,3609,6,216441.0255,1
7,12,792,3454,6,216441.0255,1
7,11,792,3589,6,216441.0255,1
7,10,792,3297,6,216441.0255,1
7,9,792,2491,6,216441.0255,1
7,8,792,2442,6,216441.0255,0
7,7,792,1626,6,216441.0255,1
7,6,792,1765,6,216441.0255,1
7,5,792,1900,6,216441.0255,1
7,4,792,2106,6,216441.0255,1
7,3,792,2106,6,216441.0255,1
7,2,792,1945,6,216441.0255,1
7,1,792,2057,6,216441.0255,1
7,0,947,2745,6,216441.0255,1
7,23,947,1806,5,214981.8823,1
7,22,947,1806,5,214981.8823,1
7,21,947,1959,5,214981.8823,1
7,20,947,2569,5,214981.8823,1
7,19,947,3385,5,214981.8823,1
7,18,947,2569,5,214981.8823,1
7,17,947,2161,5,214981.8823,1
7,16,947,2414,5,214981.8823,1
7,15,947,2741,5,214981.8823,1
7,14,947,2588,5,214981.8823,1
7,13,947,2413,5,214981.8823,0
7,12,947,2413,5,214981.8823,1
7,11,947,2413,5,214981.8823,0
7,10,947,2005,5,214981.8823,0
7,9,947,1655,5,214981.8823,1
7,8,947,1606,5,214981.8823,1
7,7,947,1606,5,214981.8823,1
7,6,947,1759,5,214981.8823,1
7,5,947,1598,5,214981.8823,1
7,4,947,1804,5,214981.8823,0
7,3,947,1804,5,214981.8823,0
7,2,947,1804,5,214981.8823,0
7,1,947,1804,5,214981.8823,1
7,0,947,2914,5,214981.8823,1
7,23,947,2335,4,214176.8113,1
7,22,947,2335,4,214176.8113,1
7,21,947,2335,4,214176.8113,1
7,20,947,1730,4,214176.8113,1
7,19,947,1730,4,214176.8113,1
7,18,947,2349,4,214176.8113,1
7,17,947,2690,4,214176.8113,1
7,16,947,3280,4,214176.8113,1
7,15,947,3903,4,214176.8113,1
7,14,947,3313,4,214176.8113,1
7,13,947,2704,4,214176.8113,1
7,12,947,3004,4,214176.8113,1
7,11,947,2654,4,214176.8113,1
7,10,947,2651,4,214176.8113,1
7,9,947,2103,4,214176.8113,1
7,8,947,1988,4,214176.8113,1
7,7,947,1838,4,214176.8113,1
7,6,947,1549,4,214176.8113,1
7,5,947,1414,4,214176.8113,1
7,4,947,1620,4,214176.8113,1
7,3,947,1620,4,214176.8113,1
7,2,947,1620,4,214176.8113,1
7,1,947,1620,4,214176.8113,1
7,0,947,2075,4,214176.8113,1
7,23,947,1716,3,210744.7133,1
7,22,947,1716,3,210744.7133,1
7,21,947,1846,3,210744.7133,1
7,20,947,1495,3,210744.7133,1
7,19,947,1495,3,210744.7133,1
7,18,947,1903,3,210744.7133,1
7,17,947,2311,3,210744.7133,1
7,16,947,2441,3,210744.7133,1
7,15,947,2311,3,210744.7133,1
7,14,947,2421,3,210744.7133,1
7,13,947,1883,3,210744.7133,1
7,12,947,1883,3,210744.7133,1
7,11,947,2181,3,210744.7133,1
7,10,947,2051,3,210744.7133,1
7,9,947,1993,3,210744.7133,1
7,8,947,1585,3,210744.7133,0
7,7,947,1542,3,210744.7133,1
7,6,947,1703,3,210744.7133,1
7,5,947,1703,3,210744.7133,1
7,4,947,1593,3,210744.7133,1
7,3,947,1593,3,210744.7133,0
7,2,947,1441,3,210744.7133,1
7,1,947,1441,3,210744.7133,0
7,0,947,2511,3,210744.7133,1
7,23,792,2376,2,212608.2799,1
7,22,792,2376,2,212608.2799,1
7,21,792,2531,2,212608.2799,1
7,20,792,2531,2,212608.2799,1
7,19,792,1545,2,212608.2799,1
7,18,792,1545,2,212608.2799,1
7,17,792,2160,2,212608.2799,1
7,16,792,2790,2,212608.2799,1
7,15,792,2630,2,212608.2799,1
7,14,792,2455,2,212608.2799,1
7,13,792,2000,2,212608.2799,1
7,12,792,1545,2,212608.2799,1
7,11,792,1697,2,212608.2799,1
7,10,792,1872,2,212608.2799,1
7,9,792,1872,2,212608.2799,1
7,8,792,2033,2,212608.2799,1
7,7,792,2033,2,212608.2799,1
7,6,792,2154,2,212608.2799,1
7,5,792,1666,2,212608.2799,1
7,4,792,1872,2,212608.2799,1
7,3,792,1872,2,212608.2799,1
7,2,792,1872,2,212608.2799,1
7,1,792,1872,2,212608.2799,1
7,0,792,3705,2,212608.2799,1
7,23,792,2318,1,213073.9512,1
7,22,792,2318,1,213073.9512,1
7,21,792,2728,1,213073.9512,1
7,20,792,2607,1,213073.9512,1
7,19,792,2347,1,213073.9512,1
7,18,792,2400,1,213073.9512,1
7,17,792,2194,1,213073.9512,1
7,16,792,2035,1,213073.9512,1
7,15,792,1880,1,213073.9512,1
7,14,792,1360,1,213073.9512,1
7,13,792,1513,1,213073.9512,1
7,12,792,1688,1,213073.9512,1
7,11,792,1688,1,213073.9512,1
7,10,792,1813,1,213073.9512,1
7,9,792,1763,1,213073.9512,1
7,8,792,1610,1,213073.9512,1
7,7,792,1610,1,213073.9512,1
7,6,792,1471,1,213073.9512,1
7,5,792,2934,1,213073.9512,1
7,4,792,3104,1,213073.9512,1
7,3,792,2484,1,213073.9512,1
7,2,792,2264,1,213073.9512,1
7,1,792,2704,1,213073.9512,1
7,0,947,3931,1,213073.9512,1
7,23,947,3688,7,214759.6474,1
7,22,947,3513,7,214759.6474,1
7,21,947,3513,7,214759.6474,1
7,20,947,2697,7,214759.6474,1
7,19,947,2697,7,214759.6474,1
7,18,947,2160,7,214759.6474,1
7,17,947,2370,7,214759.6474,1
7,16,947,2545,7,214759.6474,0
7,15,947,2335,7,214759.6474,1
7,14,947,2335,7,214759.6474,0
7,13,947,2160,7,214759.6474,0
7,12,947,1412,7,214759.6474,0
7,11,947,1412,7,214759.6474,0
7,10,947,768,7,214759.6474,0
7,9,947,1341,7,214759.6474,0
7,8,947,1188,7,214759.6474,0
7,7,947,1309,7,214759.6474,1
7,6,947,2106,7,214759.6474,1
7,5,947,2106,7,214759.6474,1
7,4,947,2106,7,214759.6474,0
7,3,947,1953,7,214759.6474,1
7,2,947,1953,7,214759.6474,1
7,1,947,1953,7,214759.6474,0
7,0,947,3220,7,214759.6474,0
7,23,798,1882,6,209723.084,0
7,22,798,1882,6,209723.084,1
7,21,798,1882,6,209723.084,1
7,20,798,1882,6,209723.084,1
7,19,798,1085,6,209723.084,0
7,18,798,1085,6,209723.084,0
7,17,798,1085,6,209723.084,1
7,16,798,2370,6,209723.084,1
7,15,798,3503,6,209723.084,1
7,14,798,3946,6,209723.084,1
7,13,798,3946,6,209723.084,1
7,12,798,4560,6,209723.084,1
7,11,798,4442,6,209723.084,1
7,10,798,4476,6,209723.084,1
7,9,798,3365,6,209723.084,1
7,8,798,1585,6,209723.084,1
7,7,798,2353,6,209723.084,1
7,6,798,2732,6,209723.084,1
7,5,798,2732,6,209723.084,1
7,4,798,3339,6,209723.084,1
7,3,798,3140,6,209723.084,1
7,2,798,2979,6,209723.084,1
7,1,798,3433,6,209723.084,1
7,0,798,3756,6,209723.084,1
7,23,798,3425,5,205757.0924,1
7,22,798,3226,5,205757.0924,1
7,21,798,2211,5,205757.0924,1
7,20,798,2619,5,205757.0924,1
7,19,798,4334,5,205757.0924,1
7,18,798,3686,5,205757.0924,1
7,17,798,3896,5,205757.0924,1
7,16,798,4576,5,205757.0924,1
7,15,954,4455,5,205757.0924,1
7,14,954,3509,5,205757.0924,1
7,13,954,3509,5,205757.0924,1
7,12,954,3898,5,205757.0924,1
7,11,954,2030,5,205757.0924,1
7,10,954,1622,5,205757.0924,1
7,9,954,1782,5,205757.0924,1
7,8,954,2306,5,205757.0924,0
7,7,954,1299,5,205757.0924,1
7,6,954,1935,5,205757.0924,1
7,5,954,1935,5,205757.0924,0
7,4,954,1935,5,205757.0924,1
7,3,954,1935,5,205757.0924,1
7,2,954,985,5,205757.0924,0
7,1,954,985,5,205757.0924,0
7,0,954,3173,5,205757.0924,0
7,23,924,2963,4,200840.7631,1
7,22,924,3760,4,200840.7631,1
7,21,924,2963,4,200840.7631,1
7,20,924,2963,4,200840.7631,1
7,19,924,1315,4,200840.7631,1
7,18,924,1686,4,200840.7631,1
7,17,924,1747,4,200840.7631,1
7,16,924,1121,4,200840.7631,0
7,15,924,1121,4,200840.7631,0
7,14,924,1274,4,200840.7631,0
7,13,924,978,4,200840.7631,0
7,12,924,1283,4,200840.7631,0
7,11,924,1499,4,200840.7631,0
7,10,924,1176,4,200840.7631,0
7,9,924,960,4,200840.7631,0
7,8,924,1170,4,200840.7631,0
7,7,924,960,4,200840.7631,1
7,6,924,1112,4,200840.7631,1
7,5,924,1112,4,200840.7631,0
7,4,924,1112,4,200840.7631,0
7,3,924,1112,4,200840.7631,0
7,2,924,1112,4,200840.7631,0
7,1,924,960,4,200840.7631,0
7,0,924,1166,4,200840.7631,0
7,23,924,821,3,202318.7755,0
7,22,924,821,3,202318.7755,0
7,21,924,821,3,202318.7755,1
7,20,924,821,3,202318.7755,1
7,19,924,821,3,202318.7755,1
7,18,924,615,3,202318.7755,1
7,17,924,615,3,202318.7755,0
7,16,924,615,3,202318.7755,0
7,15,924,750,3,202318.7755,0
7,14,924,903,3,202318.7755,0
7,13,924,1038,3,202318.7755,0
7,12,924,1038,3,202318.7755,0
7,11,924,903,3,202318.7755,0
7,10,924,903,3,202318.7755,0
7,9,924,750,3,202318.7755,0
7,8,924,750,3,202318.7755,0
7,7,924,750,3,202318.7755,1
7,6,924,902,3,202318.7755,1
7,5,924,902,3,202318.7755,0
7,4,924,1612,3,202318.7755,0
7,3,924,2090,3,202318.7755,0
7,2,924,1451,3,202318.7755,0
7,1,924,973,3,202318.7755,0
7,0,947,1182,3,202318.7755,0
7,23,947,976,2,205545.9004,0
7,22,947,976,2,205545.9004,0
7,21,947,976,2,205545.9004,1
7,20,947,1272,2,205545.9004,0
7,19,947,1272,2,205545.9004,1
7,18,947,1272,2,205545.9004,1
7,17,947,1111,2,205545.9004,0
7,16,947,905,2,205545.9004,0
7,15,947,905,2,205545.9004,0
7,14,947,923,2,205545.9004,0
7,13,947,923,2,205545.9004,0
7,12,947,923,2,205545.9004,1
7,11,947,923,2,205545.9004,1
7,10,947,923,2,205545.9004,1
7,9,947,923,2,205545.9004,1
7,8,947,770,2,205545.9004,0
7,7,947,770,2,205545.9004,0
7,6,924,923,2,205545.9004,1
7,5,924,923,2,205545.9004,0
7,4,924,1607,2,205545.9004,0
7,3,924,1607,2,205545.9004,0
7,2,924,1607,2,205545.9004,0
7,1,924,1129,2,205545.9004,0
7,0,924,1935,2,205545.9004,1
7,23,924,2022,1,218071.8948,0
7,22,924,1922,1,218071.8948,0
7,21,924,2597,1,218071.8948,0
7,20,924,2837,1,218071.8948,0
7,19,924,2837,1,218071.8948,0
7,18,924,3372,1,218071.8948,0
7,17,924,2541,1,218071.8948,1
7,16,924,2591,1,218071.8948,0
7,15,924,3419,1,218071.8948,1
7,14,924,2401,1,218071.8948,1
7,13,924,1903,1,218071.8948,1
7,12,924,2578,1,218071.8948,1
7,11,924,1750,1,218071.8948,1
7,10,924,2404,1,218071.8948,1
7,9,924,2564,1,218071.8948,1
7,8,924,1930,1,218071.8948,1
7,7,924,2078,1,218071.8948,1
7,6,924,2578,1,218071.8948,1
7,5,924,1903,1,218071.8948,0
7,4,924,1903,1,218071.8948,0
7,3,924,2064,1,218071.8948,0
7,2,924,2064,1,218071.8948,1
7,1,924,2064,1,218071.8948,1
7,0,924,3202,1,218071.8948,1
7,23,924,2207,7,220179.0213,1
7,22,924,2046,7,220179.0213,1
7,21,924,1906,7,220179.0213,1
7,20,924,925,7,220179.0213,1
7,19,924,925,7,220179.0213,1
7,18,924,925,7,220179.0213,1
7,17,924,1086,7,220179.0213,1
7,16,924,1239,7,220179.0213,1
7,15,924,1239,7,220179.0213,1
7,14,924,1078,7,220179.0213,1
7,13,924,1239,7,220179.0213,1
7,12,924,1239,7,220179.0213,1
7,11,924,931,7,220179.0213,1
7,10,924,931,7,220179.0213,1
7,9,924,770,7,220179.0213,1
7,8,924,923,7,220179.0213,1
7,7,924,923,7,220179.0213,1
7,6,924,923,7,220179.0213,1
7,5,924,1084,7,220179.0213,1
7,4,924,1084,7,220179.0213,1
7,3,924,923,7,220179.0213,1
7,2,924,923,7,220179.0213,1
7,1,924,770,7,220179.0213,1
7,0,924,1080,7,220179.0213,1
7,23,924,925,6,225281.8403,0
7,22,924,925,6,225281.8403,0
7,21,924,925,6,225281.8403,0
7,20,924,925,6,225281.8403,0
7,19,924,925,6,225281.8403,0
7,18,924,1248,6,225281.8403,0
7,17,924,1889,6,225281.8403,0
7,16,924,2054,6,225281.8403,0
7,15,924,2054,6,225281.8403,0
7,14,924,2044,6,225281.8403,0
7,13,924,1403,6,225281.8403,0
7,12,924,1881,6,225281.8403,0
7,11,924,1403,6,225281.8403,0
